time,open,high,low,close,Volume,K,D
-2976860038,4.37,4.37,4.37,4.37,0,1.4612520267418319,34.23859765837137
-2974268038,4.3,4.3,4.3,4.3,0,1.4612520267418319,12.572363137852946
-2971589638,4.37,4.37,4.37,4.37,0,9.223465232076917,4.048656428520201
-2968997638,4.37,4.37,4.37,4.37,0,18.446930464153827,9.710549240990865
-2963640838,4.52,4.52,4.52,4.52,0,46.383811547727504,24.684735747986082
-2961135238,4.51,4.51,4.51,4.51,0,63.92627944701624,42.919007152965854
-2955864838,4.18,4.18,4.18,4.18,0,54.70281421493934,55.004301736561025
-2953186438,4.15,4.15,4.15,4.15,0,26.76593313136566,48.465008931107086
-2947916038,3.93,3.93,3.93,3.93,0,0,27.156249115435
-2945237638,3.69,3.69,3.69,3.69,0,4.736951571734001e-15,8.92197771045522
-2939967238,3.6,3.6,3.6,3.6,0,4.736951571734001e-15,1.578983857244667e-15
-2937375238,3.58,3.58,3.58,3.58,0,4.736951571734001e-15,3.157967714489334e-15
-2934696838,3.55,3.55,3.55,3.55,0,4.736951571734001e-15,3.157967714489334e-15
-2932018438,3.34,3.34,3.34,3.34,0,4.736951571734001e-15,3.157967714489334e-15
-2929599238,3.17,3.17,3.17,3.17,0,4.736951571734001e-15,3.157967714489334e-15
-2924328838,2.94,2.94,2.94,2.94,0,4.736951571734001e-15,3.157967714489334e-15
-2921650438,2.73,2.73,2.73,2.73,0,4.736951571734001e-15,3.157967714489334e-15
-2916380038,3.05,3.05,3.05,3.05,0,12.93856758979071,4.312855863263572
-2911109638,3.31,3.31,3.31,3.31,0,34.41228763947297,15.78361840975456
-2908431238,3.26,3.26,3.26,3.26,0,65.7220661435967,37.69097379095346
-2903160838,3.25,3.25,3.25,3.25,0,84.49494451006129,61.54309943104365
-2900482438,3.18,3.18,3.18,3.18,0,92.71553902201707,80.97751655855835
-2898063238,3.24,3.24,3.24,3.24,0,94.39277446040468,90.53441933082767
-2895384838,3.33,3.33,3.33,3.33,0,96.01466183748273,94.37432510663483
-2892792838,3.34,3.34,3.34,3.34,0,99.65368060917802,96.6870389690218
-2887522438,3.48,3.48,3.48,3.48,0,100,98.55611414888692
-2884844038,3.45,3.45,3.45,3.45,0,99.05741797683588,99.57036619533795
-2879573638,3.48,3.48,3.48,3.48,0,99.05741797683588,99.37161198455725
-2876895238,3.47,3.47,3.47,3.47,0,98.70413498426495,98.93965697931223
-2871624838,3.58,3.58,3.58,3.58,0,99.64671700742907,99.13608998950997
-2863848838,3.77,3.77,3.77,3.77,0,99.64671700742907,99.33252299970769
